,pesquisa,latitude_min,longitude_min,latitude_max,longitude_max
0,Avenida Conde da Boa Vista Boa Vista Recife,-34.895347,-8.062138,-34.88153,-8.055956
1,Rua do Riachuelo Boa Vista Recife,-34.886889,-8.059132,-34.883546,-8.057609
2,Rua Dom Bosco Boa Vista Recife,-34.895493,-8.0580814,-34.893795,-8.056771
3,Avenida Manoel Borba Boa Vista Recife,-34.890282,-8.059871,-34.889747,-8.059478
4,Rua João Fernandes Vieira Boa Vista Recife,-34.8927893,-8.053827,-34.891553,-8.0530996
5,Rua Gervásio Pires Boa Vista Recife,-34.885363,-8.057621,-34.884864,-8.05709
6,Rua do Hospício Boa Vista Recife,-34.883437,-8.0596126,-34.880001,-8.0567846
7,Rua Barão de São Borja Boa Vista Recife,-34.889813,-8.060915,-34.889291,-8.060482
8,Rua José de Alencar Boa Vista Recife,-34.890312,-8.063438,-34.889826,-8.063126
9,Rua Velha Boa Vista Recife,-34.886165,-8.064145,-34.885802,-8.063733
10,Praça Machado de Assis Boa Vista Recife,-34.883059,-8.062613,-34.881885,-8.061733
11,Praça Maciel Pinheiro Boa Vista Recife,-34.886064,-8.062587,-34.885223,-8.062006
12,Rua Padre Inglês Boa Vista Recife,-34.8938699,-8.054505,-34.892203,-8.053024
13,Rua da Alegria Boa Vista Recife,-34.88836,-8.063841,-34.886705,-8.062693
14,rua dom manoel da costa madalena recife,-34.911941,-8.047941,-34.911575,-8.047686
